iter	Passed	Remaining
0	2	208
1	4	197
2	6	194
3	7	182
4	9	185
5	11	185
6	13	185
7	15	183
8	17	181
9	19	177
10	21	177
11	24	176
12	26	175
13	28	173
14	30	170
15	32	168
16	34	166
17	35	163
18	37	161
19	39	158
20	41	156
21	43	153
22	45	151
23	47	148
24	49	147
25	50	144
26	52	142
27	54	140
28	56	138
29	58	136
30	60	134
31	62	132
32	64	130
33	66	128
34	68	126
35	70	124
36	72	123
37	74	121
38	76	119
39	78	117
40	80	115
41	81	112
42	83	110
43	84	108
44	86	106
45	88	104
46	90	102
47	92	100
48	94	98
49	96	96
50	98	94
51	99	92
52	101	90
53	103	88
54	104	85
55	106	83
56	108	81
57	110	79
58	111	77
59	113	75
60	115	73
61	117	72
62	119	70
63	121	68
64	123	66
65	125	64
66	127	62
67	129	60
68	131	58
69	133	57
70	135	55
71	137	53
72	138	51
73	140	49
74	142	47
75	145	45
76	147	43
77	149	42
78	150	40
79	152	38
80	154	36
81	156	34
82	158	32
83	160	30
84	162	28
85	164	26
86	166	24
87	168	22
88	170	21
89	172	19
90	174	17
91	176	15
92	178	13
93	180	11
94	182	9
95	184	7
96	185	5
97	187	3
98	189	1
99	191	0
